S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,percentage  of Votes,Assembly Constituency,Assembly Constituency Number ,State 
822,NOTA,None of the Above,1597,10,1607,0.82,Undi,60,Andhra Pradesh 
823,AKUMARTHI DHANUMJAYA,Bahujan Samaj Party,1407,20,1427,0.73,Tanuku,61,Andhra Pradesh 
824,ARIMILLI RADHA KRISHNA,Telugu Desam,127954,1593,129547,66.51,Tanuku,61,Andhra Pradesh 
825,KADALI RAMA RAO,Indian National Congress,2402,20,2422,1.24,Tanuku,61,Andhra Pradesh 
826,KARUMURI VENKATA NAGESWARA RAO,Yuvajana Sramika Rythu Congress Party,56895,531,57426,29.48,Tanuku,61,Andhra Pradesh 
827,SAAKA SURESH,Jaibhim Rao Bharat Party,378,0,378,0.19,Tanuku,61,Andhra Pradesh 
828,KARUTURI SUBBARAO,Independent,889,12,901,0.46,Tanuku,61,Andhra Pradesh 
829,KUMARI PUPPALA,Independent,90,0,90,0.05,Tanuku,61,Andhra Pradesh 
830,KODURI MEHAR CHAITANYA,Independent,161,1,162,0.08,Tanuku,61,Andhra Pradesh 
831,CHITTURI SATYANARAYANA,Independent,59,1,60,0.03,Tanuku,61,Andhra Pradesh 
832,MAMIDISETTI MOHAN AAJI,Independent,93,2,95,0.05,Tanuku,61,Andhra Pradesh 
833,MURALI KRISHNA SAJJA,Independent,172,1,173,0.09,Tanuku,61,Andhra Pradesh 
834,RAPETI RAMANA BABU,Independent,149,0,149,0.08,Tanuku,61,Andhra Pradesh 
835,RAMACHANDRA RAO KUSAMPUDI,Independent,216,0,216,0.11,Tanuku,61,Andhra Pradesh 
836,NOTA,None of the Above,1699,23,1722,0.88,Tanuku,61,Andhra Pradesh 
837,KOTTU SATYANARAYANA,Yuvajana Sramika Rythu Congress Party,53445,506,53951,30.3,Tadepalligudem,62,Andhra Pradesh 
838,MARNEEDI. SEKHAR (BABJI),Indian National Congress,1868,33,1901,1.07,Tadepalligudem,62,Andhra Pradesh 
839,P.S.R. KRISHNA,Jai Bharat National Party,913,6,919,0.52,Tadepalligudem,62,Andhra Pradesh 
840,BUSANABOIYINA ANJANEYULU.,Jatiya Jana Sena Party,502,4,506,0.28,Tadepalligudem,62,Andhra Pradesh 
841,BOLISETTY SRINIVAS,Janasena Party,114955,1488,116443,65.4,Tadepalligudem,62,Andhra Pradesh 
842,BOLISETTY SRINUVASA RAO,Navarang Congress Party,749,3,752,0.42,Tadepalligudem,62,Andhra Pradesh 
843,MARAPATLA. RAJU,Republican Party of India (A),739,1,740,0.42,Tadepalligudem,62,Andhra Pradesh 
844,MEKA VENKATESWARA RAO,Pyramid Party of India,201,2,203,0.11,Tadepalligudem,62,Andhra Pradesh 
845,UNGARALA PADMA,Independent,253,1,254,0.14,Tadepalligudem,62,Andhra Pradesh 
846,NADAPANA ACHYUTA KUMAR,Independent,157,0,157,0.09,Tadepalligudem,62,Andhra Pradesh 
847,B. RAJESH,Independent,263,0,263,0.15,Tadepalligudem,62,Andhra Pradesh 
848,LANKA PRASAD,Independent,183,5,188,0.11,Tadepalligudem,62,Andhra Pradesh 
849,SIRIVARAPU SIMHACHALAM,Independent,238,0,238,0.13,Tadepalligudem,62,Andhra Pradesh 
850,NOTA,None of the Above,1522,12,1534,0.86,Tadepalligudem,62,Andhra Pradesh 
851,PATHAPATI HARI KUMARA RAJU,Indian National Congress,3100,30,3130,1.71,Ungutur ,63,Andhra Pradesh 
852,PUPPALA SRINIVASA RAO (VASU BABU),Yuvajana Sramika Rythu Congress Party,63472,477,63949,35.02,Ungutur ,63,Andhra Pradesh 
853,BUNGA YESU,Bahujan Samaj Party,1297,5,1302,0.71,Ungutur ,63,Andhra Pradesh 
854,DHARMARAJU PATSAMATLA,Janasena Party,107915,979,108894,59.63,Ungutur ,63,Andhra Pradesh 
855,PEDAPUDI DHARMARAJU,Jatiya Jana Sena Party,638,5,643,0.35,Ungutur ,63,Andhra Pradesh 
856,PERUMALLA MURALI KRISHNA,Pyramid Party of India,224,0,224,0.12,Ungutur ,63,Andhra Pradesh 
857,POTLA DHARMARAJU,Navarang Congress Party,1066,4,1070,0.59,Ungutur ,63,Andhra Pradesh 
858,ASEERWADAM NEKURI,Independent,223,0,223,0.12,Ungutur ,63,Andhra Pradesh 
859,NALLAMELLI SHANKARA RAO,Independent,299,1,300,0.16,Ungutur ,63,Andhra Pradesh 
860,PUTTA KUMAR,Independent,237,0,237,0.13,Ungutur ,63,Andhra Pradesh 
861,PUPPALA SRINIVASA RAO (VASU BABU),Independent,256,1,257,0.14,Ungutur ,63,Andhra Pradesh 
862,BATHU NAGESWARA RAO (NAGARAJU),Independent,287,2,289,0.16,Ungutur ,63,Andhra Pradesh 
863,NOTA,None of the Above,2093,12,2105,1.15,Ungutur ,63,Andhra Pradesh 
864,ABBAYA CHOWDARY KOTHARU,Yuvajana Sramika Rythu Congress Party,80252,769,81021,41.62,Denduluru,64,Andhra Pradesh 
865,ALAPATI NARASIMHA MURTHY,Indian National Congress,1594,13,1607,0.83,Denduluru,64,Andhra Pradesh 
866,CHINTAMANENI PRABHAKAR,Telugu Desam,106327,960,107287,55.11,Denduluru,64,Andhra Pradesh 
867,NETALA RAMESH BABU,Bahujan Samaj Party,1598,4,1602,0.82,Denduluru,64,Andhra Pradesh 
868,CHILUKURI PRABHAKAR RAO,Jatiya Jana Sena Party,141,2,143,0.07,Denduluru,64,Andhra Pradesh 
869,PRASAD AMUDALAPALLI,Pyramid Party of India,67,1,68,0.03,Denduluru,64,Andhra Pradesh 
870,ASHOK CHOWDARY,Independent,74,0,74,0.04,Denduluru,64,Andhra Pradesh 
871,ALAGA RAVI KUMAR,Independent,67,2,69,0.04,Denduluru,64,Andhra Pradesh 
872,KONAKALLA SRINIVASA RAO,Independent,40,0,40,0.02,Denduluru,64,Andhra Pradesh 
873,CHERUKURI SRI RAM KUMAR,Independent,124,2,126,0.06,Denduluru,64,Andhra Pradesh 
874,NAGA RAM PRASAD PERISETTI,Independent,70,0,70,0.04,Denduluru,64,Andhra Pradesh 
875,NUTI NAGARAJU,Independent,75,0,75,0.04,Denduluru,64,Andhra Pradesh 
876,NUTHI RAVINDRA,Independent,142,1,143,0.07,Denduluru,64,Andhra Pradesh 
877,PACHIGOLLA JOHN DHARMA RAJU,Independent,167,0,167,0.09,Denduluru,64,Andhra Pradesh 
878,PALLI RAMESH,Independent,253,1,254,0.13,Denduluru,64,Andhra Pradesh 
879,NOTA,None of the Above,1910,10,1920,0.99,Denduluru,64,Andhra Pradesh 
880,ALLA KALI KRISHNA SRINIVAS,Yuvajana Sramika Rythu Congress Party,48098,1076,49174,29.57,Eluru,65,Andhra Pradesh 
881,RATHAN KANTH ANDUGALA,Bahujan Samaj Party,532,20,552,0.33,Eluru,65,Andhra Pradesh 
882,RADHA KRISHNAYYA BADETI,Telugu Desam,109359,2203,111562,67.09,Eluru,65,Andhra Pradesh 
883,ALLURI SATYANARAYANA RAJU,Pyramid Party of India,611,2,613,0.37,Eluru,65,Andhra Pradesh 
884,JOSHILA MULAGALA,Jai Bharat National Party,96,3,99,0.06,Eluru,65,Andhra Pradesh 
885,BANDI VENKATESWARA RAO,Communist Party of India,578,26,604,0.36,Eluru,65,Andhra Pradesh 
886,MATHE BOBBY,Republican Party of India (A),1750,20,1770,1.06,Eluru,65,Andhra Pradesh 
887,SHAIK HUSSAIN,Reforms Party of India,63,3,66,0.04,Eluru,65,Andhra Pradesh 
888,JILLELLAMUDI NAGA UMAMAHESWARA RAO,Independent,127,3,130,0.08,Eluru,65,Andhra Pradesh 
889,NALLAMELLI PRASANNA KUMAR,Independent,48,0,48,0.03,Eluru,65,Andhra Pradesh 
890,M.M.NAIDU,Independent,81,0,81,0.05,Eluru,65,Andhra Pradesh 
891,PITTA DHANUNJAY KUMAR,Independent,62,0,62,0.04,Eluru,65,Andhra Pradesh 
892,POLISETTI TULASIRAM,Independent,95,0,95,0.06,Eluru,65,Andhra Pradesh 
893,RAJANALA SRINVASA RAO,Independent,160,3,163,0.1,Eluru,65,Andhra Pradesh 
894,NOTA,None of the Above,1212,44,1256,0.76,Eluru,65,Andhra Pradesh 
895,TANETI VANITA,Yuvajana Sramika Rythu Congress Party,87149,487,87636,41.4,Gopalapuram,66,Andhra Pradesh 
896,BHARATHA RAO SIRRA (BHARATH),Bahujan Samaj Party,1023,12,1035,0.49,Gopalapuram,66,Andhra Pradesh 
897,MADDIPATI VENKATA RAJU,Telugu Desam,113676,744,114420,54.06,Gopalapuram,66,Andhra Pradesh 
898,SODADASI MARTIN LUTHER,Indian National Congress,2373,14,2387,1.13,Gopalapuram,66,Andhra Pradesh 
899,PENUMAKA VENKATA RATNAM,Jatiya Jana Sena Party,342,0,342,0.16,Gopalapuram,66,Andhra Pradesh 
900,BATHULA VENU,All India Forward Bloc,206,0,206,0.1,Gopalapuram,66,Andhra Pradesh 
901,SRINIVASA RAO MULAGALA,Jai Bharat National Party,166,0,166,0.08,Gopalapuram,66,Andhra Pradesh 
902,DODDIGARLA . NAGARJUNA,Independent,168,0,168,0.08,Gopalapuram,66,Andhra Pradesh 
903,MUKKAVALLI VENKATA RAMANA,Independent,271,0,271,0.13,Gopalapuram,66,Andhra Pradesh 
904,RAPAKA HAREESH KUMAR,Independent,528,0,528,0.25,Gopalapuram,66,Andhra Pradesh 
905,NOTA,None of the Above,4488,12,4500,2.13,Gopalapuram,66,Andhra Pradesh 
906,TELLAM RAJYA LAKSHMI,Yuvajana Sramika Rythu Congress Party,92581,937,93518,42.7,Polavaram,67,Andhra Pradesh 
907,MADAKAM VENKATESWARA RAO,Bahujan Samaj Party,1865,10,1875,0.86,Polavaram,67,Andhra Pradesh 
908,SRUJANA DUVVELA,Indian National Congress,3522,46,3568,1.63,Polavaram,67,Andhra Pradesh 
909,UKE MANGAMMA,Yuva Taram Party,915,1,916,0.42,Polavaram,67,Andhra Pradesh 
910,CHIRRI BALARAJU,Janasena Party,99937,1516,101453,46.33,Polavaram,67,Andhra Pradesh 
911,MADAKAM VENKATESWARARAO,Gondwana Dandkaranya Party,906,12,918,0.42,Polavaram,67,Andhra Pradesh 
912,MODIYAM SRINIVASARAO,Bharat Adivasi Party,508,69,577,0.26,Polavaram,67,Andhra Pradesh 
913,KAKA KRISHNA,Independent,3693,15,3708,1.69,Polavaram,67,Andhra Pradesh 
914,BADISA BOJJI DORA,Independent,482,13,495,0.23,Polavaram,67,Andhra Pradesh 
915,MODIYAM SURYA CHANDRA RAO,Independent,1966,73,2039,0.93,Polavaram,67,Andhra Pradesh 
916,SARIYAM RAM MOHAN,Independent,3801,10,3811,1.74,Polavaram,67,Andhra Pradesh 
917,SARIYAM SURAMMA,Independent,507,3,510,0.23,Polavaram,67,Andhra Pradesh 
918,NOTA,None of the Above,5583,28,5611,2.56,Polavaram,67,Andhra Pradesh 
919,VUNNAMATLA RAKADA ELIZA,Indian National Congress,4902,56,4958,2.2,Chintalapudi,68,Andhra Pradesh 
920,KAMBHAM VIJAYA RAJU,Yuvajana Sramika Rythu Congress Party,91549,811,92360,40.98,Chintalapudi,68,Andhra Pradesh 
921,ROSHAN KUMAR SONGA,Telugu Desam,118521,1605,120126,53.3,Chintalapudi,68,Andhra Pradesh 
922,VENKATA CHAITANYA LAKKAPAMU,Bahujan Samaj Party,1070,6,1076,0.48,Chintalapudi,68,Andhra Pradesh 
923,ESTHER RANI MUVVALA,Independent,2059,18,2077,0.92,Chintalapudi,68,Andhra Pradesh 
924,KALAPALA PRASAD,Independent,188,1,189,0.08,Chintalapudi,68,Andhra Pradesh 
925,TORLAPATI SRINIVASARAO,Independent,164,4,168,0.07,Chintalapudi,68,Andhra Pradesh 
926,PACHIGOLLA JOHN DHARMA RAJU,Independent,315,1,316,0.14,Chintalapudi,68,Andhra Pradesh 
927,NOTA,None of the Above,4103,18,4121,1.83,Chintalapudi,68,Andhra Pradesh 
928,KOLIKAPUDI SRINIVASA RAO,Telugu Desam,99157,1562,100719,54.91,Tiruvuru,69,Andhra Pradesh 
929,NALLAGATLA SWAMY DAS,Yuvajana Sramika Rythu Congress Party,77873,972,78845,42.99,Tiruvuru,69,Andhra Pradesh 
930,LAKKEPOGU VANDANA KUMAR,Bahujan Samaj Party,600,24,624,0.34,Tiruvuru,69,Andhra Pradesh 
931,LAM THANTIYA KUMARI,Indian National Congress,1306,23,1329,0.72,Tiruvuru,69,Andhra Pradesh 
932,CHILAPARAPU VENKATESWARA RAO,Bharatha Chaitanya Yuvajana Party,97,2,99,0.05,Tiruvuru,69,Andhra Pradesh 
933,BOLLIPOGU NAGARAJU,Jana Vaahini Party,44,1,45,0.02,Tiruvuru,69,Andhra Pradesh 
934,SEELAM RAJA,Liberation Congress Party,40,0,40,0.02,Tiruvuru,69,Andhra Pradesh 
935,KURAPATI KRISHNAIAH,Independent,47,0,47,0.03,Tiruvuru,69,Andhra Pradesh 
936,KORLAPATI RAVEENDRABABU,Independent,85,0,85,0.05,Tiruvuru,69,Andhra Pradesh 
937,KOLIKAPOGU VENKATA RAO,Independent,90,0,90,0.05,Tiruvuru,69,Andhra Pradesh 
938,BIMALA ANUSHA,Independent,114,0,114,0.06,Tiruvuru,69,Andhra Pradesh 
939,MEHAR BABA VASAM,Independent,199,0,199,0.11,Tiruvuru,69,Andhra Pradesh 
940,NOTA,None of the Above,1174,10,1184,0.65,Tiruvuru,69,Andhra Pradesh 
941,KOLUSU PARTHA SARATHY,Telugu Desam,107303,926,108229,51.12,Nuzvid,70,Andhra Pradesh 
942,CHALIGANTI VENKATESH (DOCTOR),Bahujan Samaj Party,1286,5,1291,0.61,Nuzvid,70,Andhra Pradesh 
943,MAREEDU. KRISHNA,Indian National Congress,2389,16,2405,1.14,Nuzvid,70,Andhra Pradesh 
944,MEKA VENKATA PRATAP APPARAO,Yuvajana Sramika Rythu Congress Party,95082,769,95851,45.27,Nuzvid,70,Andhra Pradesh 
945,PAMU. RAVEENDRA NADH,Reforms Party of India,437,1,438,0.21,Nuzvid,70,Andhra Pradesh 
946,SOMU VENKATA SIVA PURNA CHANDRARAO (SIVA),Jatiya Jana Sena Party,178,0,178,0.08,Nuzvid,70,Andhra Pradesh 
947,AMUDALA ISSAKU @ PITCHAIAH,Independent,98,0,98,0.05,Nuzvid,70,Andhra Pradesh 
948,KOLUSU KAMALA LAKSHMI,Independent,115,0,115,0.05,Nuzvid,70,Andhra Pradesh 
949,BOTLA. SIVA SATYANARAYANA.,Independent,115,0,115,0.05,Nuzvid,70,Andhra Pradesh 
950,MANDALAPU SRINIVASARAO,Independent,226,0,226,0.11,Nuzvid,70,Andhra Pradesh 
951,NOTA,None of the Above,2757,14,2771,1.31,Nuzvid,70,Andhra Pradesh 
952,KALLAM VENKATESWARARAO,Communist Party of India (Marxist),1186,33,1219,0.51,Gannavaram,71,Andhra Pradesh 
953,YARLAGADDA VENKATA RAO,Telugu Desam,134093,1459,135552,56.59,Gannavaram,71,Andhra Pradesh 
954,VAMSI VALLABHANENI,Yuvajana Sramika Rythu Congress Party,96962,962,97924,40.88,Gannavaram,71,Andhra Pradesh 
955,TADANKI JAGDISH RAMACHANDRARAO,Telugu Rajadhikara Samiti Party,703,1,704,0.29,Gannavaram,71,Andhra Pradesh 
956,DONDAPATI ANAND PRASAD,All India Forward Bloc,256,0,256,0.11,Gannavaram,71,Andhra Pradesh 
957,POTLURI RAVINDRA KUMAR,Republican Party of India (Athawale),602,0,602,0.25,Gannavaram,71,Andhra Pradesh 
958,ARUNA KUMARI PRATHIPATI,Independent,145,2,147,0.06,Gannavaram,71,Andhra Pradesh 
959,KORRAPOLU SRINIVASA RAO,Independent,349,0,349,0.15,Gannavaram,71,Andhra Pradesh 
960,GUNTUPALLY UMAMAHESWARARAO,Independent,103,4,107,0.04,Gannavaram,71,Andhra Pradesh 
961,POTLURI SREEDEVI,Independent,95,0,95,0.04,Gannavaram,71,Andhra Pradesh 
962,VALLABHANENI MOHAN VAMSI K,Independent,634,2,636,0.27,Gannavaram,71,Andhra Pradesh 
963,SARNALA VIJAYADURGA,Independent,203,0,203,0.08,Gannavaram,71,Andhra Pradesh 
964,NOTA,None of the Above,1713,18,1731,0.72,Gannavaram,71,Andhra Pradesh 
965,KODALI SRI VENKATESWARA RAO (NANI),Yuvajana Sramika Rythu Congress Party,55975,965,56940,33.18,Gudivada,72,Andhra Pradesh 
966,BOSU BABU GUDIVADA,Bahujan Samaj Party,479,16,495,0.29,Gudivada,72,Andhra Pradesh 
967,VADDADI GOVINDA RAO (RAJESH),Indian National Congress,1320,13,1333,0.78,Gudivada,72,Andhra Pradesh 
968,VENIGANDLA RAMU,Telugu Desam,107975,2005,109980,64.09,Gudivada,72,Andhra Pradesh 
969,ALLURI HEMANTH KUMAR,Jai Bharat National Party,388,1,389,0.23,Gudivada,72,Andhra Pradesh 
970,AVULA PRAVEEN KUMAR,Telugu Rajadhikara Samiti Party,680,3,683,0.4,Gudivada,72,Andhra Pradesh 
971,NALLAGANCHU VENKATA RAMBABU,Jatiya Jana Sena Party,203,1,204,0.12,Gudivada,72,Andhra Pradesh 
972,KUMMARI BHAVANNARAYANA,Independent,94,1,95,0.06,Gudivada,72,Andhra Pradesh 
973,GUNDABATHINA AMBEDKAR (RAJA),Independent,100,0,100,0.06,Gudivada,72,Andhra Pradesh 
974,TALLURI PEDDA NAGESWARARAO,Independent,66,1,67,0.04,Gudivada,72,Andhra Pradesh 
975,VADDADI NAGA RAJU,Independent,87,2,89,0.05,Gudivada,72,Andhra Pradesh 
976,HASSAN AHMED ABDUL,Independent,230,0,230,0.13,Gudivada,72,Andhra Pradesh 
977,NOTA,None of the Above,981,18,999,0.58,Gudivada,72,Andhra Pradesh 
978,KAMINENI SRINIVAS,Bharatiya Janata Party,108311,969,109280,60.38,Kaikalur,73,Andhra Pradesh 
979,DULAM NAGESWARA RAO,Yuvajana Sramika Rythu Congress Party,63576,431,64007,35.36,Kaikalur,73,Andhra Pradesh 
980,NAGESWARA RAO MANEPALLI,Bahujan Samaj Party,802,1,803,0.44,Kaikalur,73,Andhra Pradesh 
981,BODDU NOBLE,Indian National Congress,2442,38,2480,1.37,Kaikalur,73,Andhra Pradesh 
982,KAMATAM NIRIKSHANA RAO,Bharatha Chaitanya Yuvajana Party,253,0,253,0.14,Kaikalur,73,Andhra Pradesh 
983,GONTHUPULUGU SATISH KUMAR,Jaibhim Rao Bharat Party,258,0,258,0.14,Kaikalur,73,Andhra Pradesh 
984,LAVETI VEERA SIVAJI,All India Forward Bloc,210,3,213,0.12,Kaikalur,73,Andhra Pradesh 
985,ALLUMOLU SOMESWARA RAO,Independent,356,0,356,0.2,Kaikalur,73,Andhra Pradesh 
986,KOPPULA VIJAYA BABU,Independent,70,1,71,0.04,Kaikalur,73,Andhra Pradesh 
987,KOTI SRINIVASA RAO,Independent,67,0,67,0.04,Kaikalur,73,Andhra Pradesh 
988,BALI GANESH,Independent,79,0,79,0.04,Kaikalur,73,Andhra Pradesh 
989,GUNUKULA NARAYANA,Independent,157,0,157,0.09,Kaikalur,73,Andhra Pradesh 
990,CHENNAMSETTI SOMA SUNDARA RAO,Independent,130,1,131,0.07,Kaikalur,73,Andhra Pradesh 
991,BODDU KIRAN KUMAR,Independent,178,1,179,0.1,Kaikalur,73,Andhra Pradesh 
992,MADASU SATYANARAYANA,Independent,1052,7,1059,0.59,Kaikalur,73,Andhra Pradesh 
993,NOTA,None of the Above,1588,10,1598,0.88,Kaikalur,73,Andhra Pradesh 
994,EDE KASI VISWESWARA RAO,Bahujan Samaj Party,440,9,449,0.3,Pedana,74,Andhra Pradesh 
995,UPPALA RAMESH(RAMU),Yuvajana Sramika Rythu Congress Party,52764,507,53271,35.52,Pedana,74,Andhra Pradesh 
996,KAGITHA KRISHNAPRASAD,Telugu Desam,90384,1010,91394,60.95,Pedana,74,Andhra Pradesh 
997,SONTI. NAGARAJU,Indian National Congress,1342,12,1354,0.9,Pedana,74,Andhra Pradesh 
998,KATRAGADDA VISHNU MURTHY,Yuga Thulasi Party,429,1,430,0.29,Pedana,74,Andhra Pradesh 
999,SABBISETTI. REVATHI DEVI,Pyramid Party of India,427,0,427,0.28,Pedana,74,Andhra Pradesh 
1000,KAGITHA SRI HARI KRISHNA PRASAD,Independent,186,3,189,0.13,Pedana,74,Andhra Pradesh 
1001,JAMADAGNI RAJULAPATI,Independent,163,1,164,0.11,Pedana,74,Andhra Pradesh 
1002,S.V. BABU,Independent,724,1,725,0.48,Pedana,74,Andhra Pradesh 
1003,SENAPATHI. GOPI,Independent,209,0,209,0.14,Pedana,74,Andhra Pradesh 
1004,NOTA,None of the Above,1341,8,1349,0.9,Pedana,74,Andhra Pradesh 
1005,ABDUL MATEEN,Indian National Congress,1393,50,1443,0.88,Machilipatnam,75,Andhra Pradesh 
1006,KOLLU. RAVINDRA,Telugu Desam,102460,2584,105044,63.73,Machilipatnam,75,Andhra Pradesh 
1007,PERNI KRISHNAMURTHY (KITTU),Yuvajana Sramika Rythu Congress Party,53760,1042,54802,33.25,Machilipatnam,75,Andhra Pradesh 
1008,SOWDADA. BALAJI,Bahujan Samaj Party,480,20,500,0.3,Machilipatnam,75,Andhra Pradesh 
1009,ADOTHU. TULASIRAM,Telugu Rajadhikara Samiti Party,162,0,162,0.1,Machilipatnam,75,Andhra Pradesh 
1010,KONA NAGARJUNA,Bharatha Chaitanya Yuvajana Party,837,1,838,0.51,Machilipatnam,75,Andhra Pradesh 
1011,VAKKALAGADDA PAVANI,Pyramid Party of India,198,0,198,0.12,Machilipatnam,75,Andhra Pradesh 
1012,AMMIREDDY RAJANI,Independent,60,1,61,0.04,Machilipatnam,75,Andhra Pradesh 
1013,ARIFPASHA SHAIK,Independent,66,1,67,0.04,Machilipatnam,75,Andhra Pradesh 
1014,ANGARA CHAMUNDESWARI,Independent,142,0,142,0.09,Machilipatnam,75,Andhra Pradesh 
1015,KOTAPROLU SUNEEL BABU,Independent,136,0,136,0.08,Machilipatnam,75,Andhra Pradesh 
1016,CHINTHAPALLI MANOHAR,Independent,96,2,98,0.06,Machilipatnam,75,Andhra Pradesh 
1017,EDE. BHASKARARAO,Independent,134,0,134,0.08,Machilipatnam,75,Andhra Pradesh 
1018,LAKSHMI KIRAN KUNAPAREDDY,Independent,187,0,187,0.11,Machilipatnam,75,Andhra Pradesh 
1019,NOTA,None of the Above,996,31,1027,0.62,Machilipatnam,75,Andhra Pradesh 
1020,ANDE SRI RAMAMURTHY,Indian National Congress,1043,25,1068,0.57,Avanigadda,76,Andhra Pradesh 
1021,GUNTURU NAGESWARARAO,Bahujan Samaj Party,423,13,436,0.23,Avanigadda,76,Andhra Pradesh 
1022,RAMESH BABU SIMHADRI,Yuvajana Sramika Rythu Congress Party,66142,884,67026,35.95,Avanigadda,76,Andhra Pradesh 
1023,AMBETHKAR. SAMUDRALA.,Jaibhim Rao Bharat Party,414,6,420,0.23,Avanigadda,76,Andhra Pradesh 
1024,NANCHARAIAH VENKATA MUNGARA,Pyramid Party of India,344,1,345,0.19,Avanigadda,76,Andhra Pradesh 
1025,BUDDHAPRASAD MANDALI,Janasena Party,110959,2501,113460,60.85,Avanigadda,76,Andhra Pradesh 
1026,BOYINA BUDDAPRASAD,Navarang Congress Party,688,1,689,0.37,Avanigadda,76,Andhra Pradesh 
1027,VENTRAPRAGADA. ANAND KUMAR,Jatiya Jana Sena Party,313,0,313,0.17,Avanigadda,76,Andhra Pradesh 
1028,GIRIDHAR NAIDU NADELLA,Independent,123,2,125,0.07,Avanigadda,76,Andhra Pradesh 
1029,CHANTI TANANKI,Independent,189,1,190,0.1,Avanigadda,76,Andhra Pradesh 
1030,NEELA. MANOHARA BABU,Independent,237,0,237,0.13,Avanigadda,76,Andhra Pradesh 
1031,MATHI PUSHPA KUMAR,Independent,183,1,184,0.1,Avanigadda,76,Andhra Pradesh 
1032,NOTA,None of the Above,1933,19,1952,1.05,Avanigadda,76,Andhra Pradesh 
1033,ANIL KUMAR KAILE,Yuvajana Sramika Rythu Congress Party,63719,780,64499,39.12,Pamarru,77,Andhra Pradesh 
1034,KUMAR RAJA VARLA,Telugu Desam,92853,1336,94189,57.13,Pamarru,77,Andhra Pradesh 
1035,D Y DAS,Indian National Congress,2195,38,2233,1.35,Pamarru,77,Andhra Pradesh 
1036,BABU RAJENDRAPRASAD. RAYAVARAPU,Bahujan Samaj Party,443,10,453,0.27,Pamarru,77,Andhra Pradesh 
1037,KODALI SUNEELA,Jaibhim Rao Bharat Party,199,0,199,0.12,Pamarru,77,Andhra Pradesh 
1038,NAYUDU. SIRISHA RANI,Jai Bharat National Party,460,2,462,0.28,Pamarru,77,Andhra Pradesh 
1039,M RAJA MANOHAR,Republican Party of India (A),814,2,816,0.49,Pamarru,77,Andhra Pradesh 
1040,SALE DINESH BABU.,Jatiya Jana Sena Party,284,1,285,0.17,Pamarru,77,Andhra Pradesh 
1041,NOTA,None of the Above,1722,11,1733,1.05,Pamarru,77,Andhra Pradesh 
1042,ELISALA SUBRAMANYAM,Indian National Congress,2562,34,2596,1.1,Penamaluru,78,Andhra Pradesh 
1043,JOGI RAMESH,Yuvajana Sramika Rythu Congress Party,83962,1035,84997,35.93,Penamaluru,78,Andhra Pradesh 
1044,BODE PRASAD,Telugu Desam,142757,2155,144912,61.26,Penamaluru,78,Andhra Pradesh 
1045,SOMU MAHESWARA RAO (MAHESH YADAV),Bahujan Samaj Party,708,8,716,0.3,Penamaluru,78,Andhra Pradesh 
1046,GURRALA HARSHITHA,Bharatha Chaitanya Yuvajana Party,184,1,185,0.08,Penamaluru,78,Andhra Pradesh 
1047,CHAKKA. YEDUKONDALU,Pyramid Party of India,585,0,585,0.25,Penamaluru,78,Andhra Pradesh 
1048,SASIDHAR MAREEDU,Telugu Rajadhikara Samiti Party,165,0,165,0.07,Penamaluru,78,Andhra Pradesh 
1049,SADARLA. PRASADA RAO,Jaibhim Rao Bharat Party,129,1,130,0.05,Penamaluru,78,Andhra Pradesh 
1050,KANAKA DURGA RAO. PACHIPALA,Independent,458,0,458,0.19,Penamaluru,78,Andhra Pradesh 
1051,GOGAM RAMU,Independent,140,0,140,0.06,Penamaluru,78,Andhra Pradesh 
1052,MARADANI VIEZAYAA,Independent,145,0,145,0.06,Penamaluru,78,Andhra Pradesh 
1053,NOTA,None of the Above,1486,24,1510,0.64,Penamaluru,78,Andhra Pradesh 
1054,ASIF SHAIK,Yuvajana Sramika Rythu Congress Party,57988,649,58637,34.12,Vijayawada West,79,Andhra Pradesh 
1055,MADDIRALA VINOD KUMAR,Bahujan Samaj Party,958,20,978,0.57,Vijayawada West,79,Andhra Pradesh 
1056,YALAMANCHILI SATYANARAYANA CHOWDARY,Bharatiya Janata Party,104717,952,105669,61.49,Vijayawada West,79,Andhra Pradesh 
1057,KONAKI VENKATESWARA RAO,Studentz United For Nation Party,241,0,241,0.14,Vijayawada West,79,Andhra Pradesh 
1058,KOTESWARA RAO GUMMADIDALA,Communist Party of India,3654,69,3723,2.17,Vijayawada West,79,Andhra Pradesh 
1059,KHADAR BASHA SHAIK,Marxist Communist Party of India (United),124,2,126,0.07,Vijayawada West,79,Andhra Pradesh 
1060,TADANKI JAGADISH RAMACHANDRA RAO,Telugu Rajadhikara Samiti Party,53,2,55,0.03,Vijayawada West,79,Andhra Pradesh 
1061,NAKKALA SAI BABU,Navarang Congress Party,186,3,189,0.11,Vijayawada West,79,Andhra Pradesh 
1062,PARASA SURESH KUMAR,Jaibhim Rao Bharat Party,164,4,168,0.1,Vijayawada West,79,Andhra Pradesh 
1063,POTHINA VENKATA RAMARAO,Jai Bharat National Party,294,4,298,0.17,Vijayawada West,79,Andhra Pradesh 
1064,MOHANA DURGA PRASAD TADEPALLI,Pyramid Party of India,88,0,88,0.05,Vijayawada West,79,Andhra Pradesh 
